지금, 만나러 갑니다
10,혼자보다가 펑펑울었다 아재인데ㅠㅠ
10,어릴때 스치듯이 본이후 10년만에 문뜩 생각이나 보는영화..내인생의 최고의영화가 아닐까싶다. 여름장마가 올때마다 생각날거같다.
10,와..지루한 부분 잘견디면 보상이  있다
10,멜로영화중 가장슬펐음
10,이제서 이 영화를 본 게 후회 됨ㅠ
10,후반부로갈수록더슬퍼지고감동적이네요ㅠㅜㅜ
10,내 인생 최고의 영화였다
10,정말 예쁜영화네요...
10,진짜펑펑울면서봤다추석때또봐야지
10,왜 이제야 봤지..인생영화다..
10,명작입니다 잘봤어요.
9,슬퍼 재밌어 10자10자
10,그냥명작 ..  안본사람들이불쌍 .. 인생영화임
10,그때 엄청 재밌게 봤었는데 내용 거의 잊어먹음.. 다시 봐야하는데 귀찮..
10,너무 감동 받음!!정말 재미있어요
10,제 1의 인생영화 등극입니다
10,인생 최고의 일본 영화.
10,태어나서 네이버 평점 처음 써본다. 마음을 움직이게 만드는 영화. 정말 가슴이 먹먹하다. 이렇게 아름다운 영화를 왜 이제 봤나 싶기도 하고, 그나마 지금이라도 보게 되어 정말 다행이다.
10,내가본 본영화중 최고로 기억되고 있고 보고 또 봐도 슬프다...우리나라 어거지로 슬프게 만들려는 스토리와는 비교가안됨
6,난 감성이 메말랐나봐 ㅠㅠㅠ 이 영화의 팬 여러분들 미안해요. 애기는 너무 귀엽다.. 근데 스토리가 너무 말이 안 되는 것이 있다보니 몰입이 안 되네에
10,일본영화중 유일하게 2번이상 봤네요.
10,너무 슬펐다. 이렇게 울어본지가 얼마만인지...
10,로맨스 영화중에서는 클래식과 양대산맥!
10,후회스럽다. 내가 이영화에 대해 익히 알고 있었지만 지금에서야 본게 너무 후회된다. 좀더 빨리 봤어야했는데...나온지 13년이 된후에야 보게됬다니....ㅠㅠ
7,남아있는 자의 슬픔을 또 느끼고 간다.
10,정말 눈물 흘리면서 봤습니다..
7,내가 집중력이 딸려서 그런지 영화가 지루해서 그런지 보는내내 빨리 끝나기를 빌었다. 결말부분의 한번에 터지는 감동과 최고의 브금이 캐리했던것같다. 그외에 배우의 연기력은 엉망이였던것같고 스토리는 9점정도 까지는 아닌것같고 7점정도가 알맞다고 본다.
1,자기가 죽을걸 알면서도 그렇게 결혼해버리는건 무책임한것같다. 이기적인여자 ...
10,너무 좋다는 생각이 들었다.
10,다케우치 와같은 여자와 결혼하고싶다.
10,태어나서 처음으로 영화 평점 줘봅니다. 죽기 전에 한번은 꼭 봐야 후회 ㅣ안해요
10,눈물나옴대박영화ㅠㅠㅠ
10,여름하면 생각나는 영화..
10,일본특유의 독특한 발상과 슬픈 멜로 감성이 잘 녹아 있는 영화.  미오가 돌아왔다 다시 떠날때 눈물을 흘리지 않는이는 없을꺼라고 장담한다.
8,관람 후 공허함과 아련함이 휘몰아쳐서 잠을 이룰수가 없구나
10,10년이 더 지나고 난 지금에 봐도 너무 좋은 영화.너무나 좋다. 정말.
10,이쁘다 슬프다 감동적이다
10,하 오랜만에 보고싶어서 봤는데 두번째봐도 감동대박이다ㅠㅠ그동안 감정메마른듯했는데 이거보고 살아있음을 느꼈다 나도이렇게행복하게살고싶다
10,새벽에 보고 내용때문에 울고 엄마생각나서 울었다
10,영화 시작하고 보는 내내 울었네요....제가 생각하는 사랑이란 여전히 이런 것입니다. ..
10,음악들으면 눈물이 나올정도.. 최고의 멜로영화
9,비오는날에 괜시리 나를 만나러 오는 사람은 없을까 생각하게되네요 장마때마다 기억날것 같아요 가슴이 따듯해지는 영화입니다
10,내가 이걸 학교에서 왜봤지...
8,아이템 전개 모든면에서 좋은 영화.. 우는 장면에서 눈물은 안흐르고 인상만 쓰고 있는 여주인공.. 그리고 약~ 간씩 과장된듯한 연기는 극의 재미를 방해한다.
10,동화처럼 잘 그렸습니다.
8,이런 류의 일본영화를 너무 많이 봐서처음 음악을 먼저 듣고 너무 애절하고 좋아서 정말로 기대하고본영환대 ..해바라기숲은 개인적으로는 너무 억지같기두하고..그냥 멍하니 보다가 마지막 케익이 재일 슬펏어요책으로 읽으면 정말 좋앗을것같음고로 책사야겟
10,보는 내내 계속 울었네요 옛날에 한번 보고 이번에도 다시 한번 봤는데 너무 따뜻한영화인거 같아요..
10,그냥 최고.... 추천
10,눈물나게 좋은 영화네요
10,역사상 최고의 영화 말이 필요없다
10,진짜 매년 여름마다 생각나서 챙겨보는 영화 분위기도 그렇고 그냥 모든게 좋은 영화
10,국내 개봉당시 일본의 독도 문제로 한달도 안되 극장에서 사라진 영화. 후에 사람들의 입소문을 통해 알려진작품. 안본사람은 있어도 한번만 본사람은 없을것이다. 이영화는 두번째 볼때 더 큰 감동을 받는다. 처음볼땐 알수없던 것들을 그제서야 느낄수 있기때문
10,여름장마철이면 이 영화가 계속 생각 날 것 같네요. 못 보신분들에게 꼭 꼭 추천해주고 싶은 영화입니다.
7,너무슬프다 아이 너무불쌍해
10,히트다~! 히트~ 히뜨히뜨
10,굿굿 이걸 이제야 보다니ㅜㅜ
10,내인생 최고의 영화.. 가끔 문득문득 생각나게함
10,멜로 영화는 이 영화처럼
10,생각지않게본영화입니다. 감동적입니다.
10,인생영화중에 갑오브갑
10,인생영화! 인생최고영화!! 내이상형이다!!! 다케우치유코...별10개도모자람
10,아 진짜 고3때 보구 지렸었는데 하... 성인되구 지금 여동생이랑 같이 보자마자 또 지려버렸다...잊지못할 매년 장마철에 봐야할 영화인거같다. ㅜ
9,아 맞다. 이 영화를 보고 슬펐고 설랬고 감동했던 때가 있었다는 걸 잊고 있었다.
8,브금 너무좋다. 지금 만나러갑니다!
10,이거보고 예고편보면 예고편만봐도 눈물이난다..
10,그냥 개명작이다...미쳣가진짜ㅠㅠ꼭봐야하는영화...
10,정말 슬프고 먹먹함..
10,최고의 영화 먹먹하네요..
10,최고의 영화 먹먹하네요..
10,비오는날 봐서 더 좋았어요 너무 감동적이고 아름답네요
10,미쳤다 진심 새벽에 보는데 눈물한바가지흘린듯
10,내용 배우 OST까지 좋았던영화
10,그 동안 본영화중에 눈물을 제일 많이 흘렸던 영화후반에 미오의 과거회상중에 노트에 "지금 만나러 갑니다"마지막 해바라기밭에서 키스장면
10,평점은 거짓말을 하지 않는다
10,지금 만나러 갑니다. ㅠ
10,더 이상의 말이 필요 없는 영화
10,ㅜㅜ말로표현할수가없다진심
10,그냥 최고라는말밖에나오지않는다
10,세상에서 가장 사랑하는 영화
10,내인생영화 이건꼭봐야된다
10,무슨말이 더 필요할까 그냥 짱
4,뭐여 ost만 좋네 마지막 10분정도? 재밌고 .. 아니근데 28살에 죽을바에야 다른인생을 사는게 나을거같은디 ..
10,정말 눈물 흘리면서 본 최고의 영화였습니다..
10,제가본 영화중에 젤 감동적이였습니다
10,지구 최강의 영화 진짜 공감 오에스티도 완벽
10,그냥 말이 필요없는 영화 계속 문득문득 생각나고 정말 예쁜 영화였지라는 생각이 듭니다 정말 최고의 영화입니다 제가 본 영화 중에 최고인 것 같아요 정말 너무 아름다운 영화였어요
10,장마가 시작되어서 작년에 처음 이거 보고 울던 게 생각 나 다시 찾아서 봤는데 역시나 가슴이 먹먹하고 흐르는 눈물을 주체할 수 없었다 ㅠㅠ 여운이 계속 된다 유우지랑 엄마랑 헤어질 때는 역대 영화 중 가장 슬픈 장면이다 ㅠㅠ
10,명작이란 온갓 리뷰를 보며 150% 기대를 안고 봤는데 200% 감동 직격탄 먹음 ..
10,인생최고의 영화. 정말 슬프고 감동적이고 가슴이 먹먹하다.
10,비오는 날  생각나서 오늘도 들러봅니다.
10,가족 드라마 판타지 로맨스 첫사랑의 아련한 설레임. 모든걸 품은 완벽한 영화.
10,감동이 깊이 남을수밖에없는 영화
10,진짜 10년이 휠씬 넘게 지나도 하나도 촌스럽지 않은영화장마철이라서 더 생각나게된다
10,중간중간에 계속 훌쩍거렸네요 ㅠㅠ 뭐라 말로 표현할 수 없네요
10,형이 진짜 영화 10점 안준다. 혹시 이거 안 본 사람 지금 볼까 말까 고민 하는 시간에 봐라. 말 들어
10,정말, 장마철이면 생각난다
10,진짜최고의영화 장마철이되니 한번더 보고싶네요
10,이건10.00가야한다.
10,여주 남주가 실제로 연인사이 됬다가 남주가 찼었나? 이런 아이러니
10,지금,만나러 갑니다. 수 많음을..
10,대사 하나하나가 주옥같다.장마철만 되면 생각나고 다시 보게된다.
10,9년만에 다시보는데... 진짜... 유코 ㅠㅠ 역시 이쁘다 이런젠장 너무슬프다 내용 다 알고 보는데도 슬프네  이런 ㅠㅠ 39살에 한번더봐야지 ㅠㅠ 13년뒤
10,10년뒤에 보는데 여전히 마음을 흔든다. 아니 더 큰 감동을 준다... 남녀간의 사랑 뿐만이 아니라 가족, 소중한 사람들을 생각해보게 한다. 남는자가 슬픈가 떠나는자가 슬픈가... 그냥 이런 존재로 태어난 기구한 운명의 우리가 슬프고 그래서 아름답다.
10,우연히 봤는데 하필 지금이 장마시즌이라 더 아련하다....
10,새벽에 울부 짖었다 11년전 내가 11살때 나온 영화 내인생 넘버원1 영화 죽기전에 꼭 봐야 됨
10,멜로영화의 정점에서 현대 영화를 씹고있는 영화...
10,오늘 처음 봤는데...새벽감성 터지네요 ㅠㅠ 눈물이 안멈춰요...나 남자인데 ㅠㅠ 인생영화찾음
10,별점 만개줘도 안아까울 명작이에요.남잔데도 보고 펑펑울었습니다ㅠ
10,몇안되는 명작입니다..
10,영원한 사랑을 노래하다
8,영화보고 가진 여운이 남여주인공의 현실 막장 파국스토리로 와장창 깨진다. 역시 영화는 영화로 남겨두어야. 영화는 최고.
8,빗소리, 바람 소리, 빗방울 소리가 너무 좋았다. 그래서, 구름이 걷히는 하늘에, 서서히 내려 쬐는 햇빛에도 혹시 소리가 있을까 하며, 저절로 숨죽여 귀기울였다. 서정적인 영상, 연기, 음악. 한 여자, 한 어머니의 숭고한 선택. Love Diary.
10,영화 집중해서 보다가 다케우치 유코의 아들이 되었었다..
10,비올 때마다 떠올라...
10,볼 때마다 새롭고 언제봐도 아름다운 영화
10,처음에 초반에는 스토리가 어색하다고 생각했다 뭔가 내용이 듬성듬성한 내용이였는데 후반부로 가면서 모든게 완벽하게 채워지고 메꿔져갓다..내 인생 최고의 영화중 하나
10,끝나기15분정도 남기고 타쿠미가 일기장을 읽으면서 시작된 엄청난반전은2번안볼수없게했다.원작자와 감독의 뛰어난 연출.치밀함과 다양한 장치를 통한 복선과암시등이 상당.적절한코믹적인물설정.물안개뒤편의환상.사랑은뜨거운여름날시작되고 이별할땐 손이차가와진다...
10,감동 ㅠㅠ... 처음으로 댓글단다. 너무 따뜻한 영화ㅜㅜ
4,어쩌다 2번 봄... 2번 다 그닥...;;;
10,최고최고최고최고최고
10,네이버 평점은 늘 진리네요
10,비의 계절과 아카이브별, 네잎클로버--- 너무나  감동적인  러브스토리
10,인생영화 3번째 본기념 ㅜㅜ
10,하 나이먹고 우는것도 힘든데..울고싶어도 안울어지는데 이거보고 펑펑울어버렸다ㅠ
10,10년이 넘는 시간동안, 10번을 봐도 10번을 가슴 뭉클하게 눈물흐르게 하는 명작
10,감동했습니다. 3번째 봐도 여운이 대단하네요.
10,아름다운 영화고마워요
10,보는이로  하여금  꼭 지켜주고 싶고 응원해주고  싶은  사랑에 대한 영화.  작고 여리여리한 사랑이야긴데 여운이 오래가네요
9,어렸을때부터 일본추천영화로 많이 들어본 작품이었는데 오늘에서야 감상했네요. 멜로 안좋아하는데 가끔은 이런 영화가 보고싶기도 해요.
10,보고 눈물을 안 흘릴수가 없었어요ㅠㅠ 그 남자 자체가 행복이라는 여자의 사랑을 정말 해보고싶네요
10,오랜만에 다시 봤지만 역시 좋았다. 세번째보는데도 감정이 다시ㅠㅠ 두주인공의 현실이야기를 들어서 얼마간 실망했었지만 오랜만에 보니 다 잊고 새로운 마음으로 볼 수 있었음ㅎㅎ
10,고등학교 2학년때 봤지만 아직도 tv에서 bgm이 흘러나오면 몸이 움찔한다 내 인생 최고의 영화.
10,진짜 인생영화다 내 인생에 지금 만너라 갑니다  보다 감동을 준영화는 없는듯
10,장마시즌 최고의 영화가 아닐까요? 감동 또 감동
10,감동이 있어서 좋아요^^
10,"지금 만나러 갑니다" 코끝이 찡하네요 영화제목 넘 멋집니다..
10,그냥10점....최고....
10,10년만에 또 봤는데 역시 인생 영화ㅜ 타쿠미가 자전거 타고 미오 만나러 갈때부터 폭풍눈물ㅜㅜ
10,내인생 최고의 영화... 매년 여름 방송에서 할때마다 또 보고 또보고 또 찾아보고...그래도 매번 감동...♡
10,아... 명작! 이런 명작을 또 만날 수 있을까....
10,말이 필요 없네요 감동도 여운도
9,다케우치 유코랑 기무라 타쿠야 나오는 프라이드 보고 감동했는데 지금만나러갑니다도 슬프고 감동적이네요.
6,그냥 오버보드 귀신버젼 ㅋ오래된 클리셰이상이상하님. 다만 여주는 예쁘다
10,처음 봤을 때 가장 완벽한 영화
10,ebs에서하네 비오믄생각나는영화
10,아..다시봐도 감동이네ㅠㅠ
10,영화보고 살면서 첨으로 책도 산 영화 감히 인생영화라 해도 과언이 아니다 본지 7년정도 지난것같은데 가장 감동스럽고 가슴벅찬영화라고 당당하게 말할수있는 영화중 하나  !
10,지금 실시간 검색어 1위네 비와서 그런건가? 진짜 이건 여름 대표 영화라고 해도 무방함..
10,사스가~스시녀~~스시녀 다이스키요~~♥
10,내가 이걸 얼마나 재밌게 봤는데.. 여주인공 혹시 배드신이나 av찍은거 있나 하루종일 찾아봤다
7,일본애들 연기는 진짜 접어야 한다.... 개못하네;; 걍 성우만..
10,아바타에도 10점을 안줬는데 이건 10점이다. 그나저나 유코.. 너무 예쁘잖아
10,장마철 계절이 오면 이 영화도 같이 오는구나 못 보신 분들은 꼭 보세여
10,이 영화로 남녀주인공은 실제 연인으로 발전했으나 남자배우가 바람피다가 뽀록나서 헤어짐 하지만 영화는 잼남
6,애까지 딸린 부부가 키스 한 번 하는데 뭘 그리 망설여...
10,아주 좋은 영화입니다.
10,가장 따뜻한 눈물을 흘렸던 영화
10,역대급영화다 다케우치유코... 비의계절이되면 생각나게한다.
10,보지는 않았지만 아노하나 삘인데
10,중1 때 학교에서 보여줬는데 엄청 울었다. 집에 와서 한 번 더보고 또 울었다.
10,너무 감동적이란말밖에 안나오는군요..
10,로망과 낭만이 담겨있죠
10,요즘 같은 시대에 ... 미래에 죽을 걸 알면서 사랑을 선택할 수 있는 사람이 있을까?  지금 만나러 갑니다 정말...여운이 긴 영화입니다 .  앞으로 장마를 좋아할 거 같아요
10,너무 가슴 따뜻해지고 감동적인 이야기였다 내 인생 최고의 영화라고 해도 될만큼 좋았습니다!
10,가슴까지 슬퍼지는 그런영화
10,영화 정말 잘 만들었다 10자
10,감동적이고 눈물나는 영화
10,유우지를 이 세상에 태어나게 하고 싶어 라는 말 한마디로 이 영화는 아름답다고 말할 수 있습니다 생각날 때 한번씩 보는게 벌써 몇번째인데도 매번 가슴이 먹먹해지네요 엄마 사랑합니다
10,짧았던 만남 놓아보내고, 잊었다 생각했지만 사실 내 가슴한켠에 항상 남아 있어 보고 싶은 데 그럴 순 없어 영화로 나마 위로 받으려 한다 항상 보고싶어 너 처럼 맑고 사랑스러운 사람은 처음 이였으니까  어디서든 사랑 많이 받고 항상 행복하길 바라!
10,별 100개를 줘도 아깝지않다
10,폰으로 본것이 너무아쉬워요... 너무감동적입니다 많이 울었네요 꼭보세요...
10,29살 남잔데 영화보면서 처음울어봤다
10,울다 다음날 쌍꺼풀 실종됐어여 ㅠㅠ
10,보는내내 눈물이 멈추질않네요 너무보고싶다.
10,보고 펑펑 울었음, ost가 정말 잘 어우러진 영화
10,11년이 지나 다시 본 영화는 정말 감동이었습니다. 어릴 적에는 그냥 가족 또는 멜로라고 생각했는데.. 이제는 삶을 대하는 자세 그리고 인생에 대한 선택의 문제로 인식되네요. 정말 최고의 영화입니다.
10,와 유명한 로맨스물들 그저 그렇게 본 사람인데 이건 정말 극강의 멜로/로맨스네요^^강추합니다 !
10,여배우의 미모때문에 집중도와 공감도가 90%먹고 들러갔습니다 ㅠㅠ
10,마음이 따스해 지는 영화. 반전이 있는 멋진 시나리오.
10,보고난 후에 여운이 깊게 남는영화...
10,영화 재밌네요. 재밌어요. 짱이에요. 최고에요.
10,제목의 참의미를 깨닫는순간이 영화는 명작이란것을 다시금 깨닫게된다.
10,멜로영화 원탑 진짜로...
10,비가 올때마다 생각나는 영화
10,울고싶으면 이 영화를 봐라
10,말이 안 나온다... 너에게 내 첫사랑을 바친다, 다만 널 사랑하고 있어, 지금 만나러 갑니다는 정말... 인생 영화
10,명작이예요ㅠㅠ 인생영화
8,전체적인 분위기나 플롯구성에는 만족을 하였으나 뻔한 전개의내용과 2%부족한 포텐이 아쉽다.
10,진정한 사랑을 알려주는 영화
10,너무재밌게봤어요,,,,♡♡
10,여름, 매미소리, 숲, 장마, 햇빛...아름답고 소중한 이야기
10,미래를 본건 솔직히 이상하다고 느껴졌는데스토리는 좋았고 슬픔 행복을번갈아가면서 느낀거같다진짜 이걸 왜 이제봤을까 진짜 내가 몇년이지나도장마철만되면 문득 생각날듯한 영화다..ㅠㅠ
10,오늘 이후로 5번째 본건데 볼때마다 펑펑운다... 남자인게 쪽팔릴정도로 펑펑운다... 내 인생 최고의 영화 인거같다..
10,다른말은 필요없다 최고
1,슬픈영화라고 해서 봤는데 전혀 슬프지가 않네.  여주 이뻐서 검색하다 알게된 사실 하나 남주 여주 이 영화찍으면서 속도위반으로 결혼 하고 2008년에 이혼. 남주는 2015년 재혼했구만 ㅋㅋㅋ
10,10점 그 이상의 점수를 주고싶다
10,말이 필요없네요...
10,어제보고 오늘 바로 또 봤다..자신이 죽을걸 알면서도 사랑하는 사람들과 함께하기위해...다시 돌아가는 장면이 인상 깊었다
10,몇 년째 이 시기만되면 항상 보고있습니다 재개봉해서 극장에서도보고... 볼때마다 눈물납니다 표현도 못하고 너에게 어울리는 사람이 아닌거같아 혼자 맘삭히고 연락할 용기하나없고... 오늘도 보고서 너무슬펐습니다 이런 영화를 만들어준 감독님께 감사할따름..
10,마음이 너무나 따뜻해지는영화였다.. 아직 고등학생이고 사랑같은거 잘모르는데 이 영화보고 사랑하는사람이 있다는게 얼마나 행복한 일인지 깨닫게해주는 영화였다. 여름장마철마다 생각날것같다..
10,지금 만나러 갑니다 오아 마지막에 더 흥미진진해지는 영화
10,비가 내리는  장마철 풍경과 가족들의 애뜻한 사랑.. 감동적이고 여운깊게 봤습니다.
10,처음 평점 남깁니다. 다른말이 필요없네요
10,하... 눈물 콧물 다 빼면 어쩌자는거...
9,영상미, 음악, 탄탄한 스토리라인, 여주인공몇몇 장면에서 남자주인공 비쥬얼에 몰입이 안된점이 아쉬웠지만, 엔딩은 정말 최고다. 영화 내내 기를 모으고 있다가 감수성 에네르기파를 쏘는느낌
10,영화 제목만 떠올려도 눈물 나는 영화...
10,눈물과 미소,  언제 보아도 아름답다.
10,내 인생영화였다. 정말 최고다.
10,이런 영화를 만들고 보고 즐기는 사람들이 어쩌면 그렇게 호전적이고 잔인할 수 있는걸까. 극과 극은 통하는걸까. 많은 일본영화중 손에 꼽을 작품이다.
10,이런 영화를 이제서야 보다니.... 정말 글로 표현할 수 없는 최고의 영화네요
10,인생 최고의 영화.나 역시 한 아이를 키우는 엄마로서, 한 남자의 아내로서..이보다 더 완벽한 영화는 없을듯. 영화 시작부터 계속 눈물이 났다.
10,인생영화 그시절 우리가 좋아했던 소녀랑 투탑입니다 짱!!
10,영화가 너무 아름답네요....
7,순수한 느낌의 영화..
10,어릴때 봤을땐 그냥 감동적이구나 하고 보았는데 나이를 먹은 지금 우연히 다시봣을땐 남자지만 반은 울면서 본거 같네요 눈물이 난건 그녀가 유우지와 남편을 만나기위해 죽을걸 알면서도 타쿠미를 만나러갈때 그 지고지순한 사랑이 절 눈물나게 만듭니다 최고의영화
10,이건 정말 말로표현할수없을만큼 슬프지만 아름다운 사랑이야기다.. 영화보면서 다시봐야겠단생각이 든 영화도 이 영화가 처음이고 어떤영화를 봐도 눈물이나지 않던 나를 울린 영화도 이 영화가 처음이다.. 평점 처음남겨보는데 이 영화는 살면서 꼭 봐야한다...
9,저런 순수한 사랑을 해보고 싶다는 생각이 만땅...눈물이 나오진 않았지만 울컥하긴 했다. 뻔하다고 할 수도 있겠지만 분명히 필요했던 이야기였던 것 같다. 뭐라 다 표현은 못 하겠지만 단 한 가지는 확실하다. 아름다운 영화다. 있어서 좋았다.
10,진짜 최고최고 ㅠㅠ 두번이나 울었어요 ㅠㅠㅠ
10,처음부터 끝까지 슬픔과 놀라움의 연속이었던 것 같다 책이 먼저 나왔다는 사실에 두 번 놀랐던 영화
10,일본영화는 이거 미만 잡
10,내가 생각하는 좋은 영화
10,태양이 뜨거운지 만지지 않아도 알 수 있는 것처럼, 이건 하나의 태양이다.
10,타쿠미,유우지 지금만나러갑니다.비오는날 보세요...세상에서 제일 아름다운  영화입니다.
10,제 곁에 있는 모든사람들에게 전하고싶습니다고맙습니다 그리고 사랑합니다
10,분위기,스토리 정말모든게 녹아있는영화..
10,좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요
10,넘나슬픈것ㅠㅠㅜㅠ하
10,내 인생 최고의 영화 입니다.
10,진짜 내 인생영화.. 새벽에 얼마나 울어재꼈는지 모르겠다 안그래도 요즘 멘탈 약해져서 힘들었는데 진짜 많이 울었다 수능끝나고 꼭 다시봐야지ㅠㅠ
10,보는 나마저 순수해지는 영화
10,너무 아름다운 이야기들
10,자칫 하면 유치해 보일수 있는 부분이 많은데, 세명의 주연이 만들어낸 기적 엄청난 묘사로 승부본 영화
10,호불호없는 최고의 영화..
10,다시 한번 잘 봤습니다.
10,언제봐도 감동적인 영화
10,이 영화를 뛰어넘는 영화를 볼 수 있을까?? 아껴두고싶은 영화...
9,무엇보다아름다운사랑...그사랑이저며온다...
10,내 인생 최고의 영화.ㅠ
10,오랜만에 봤는데도 달달하구만! 말 그대로 아름답다.
10,가슴이 따듯해지는 영화
10,네이버 평점 처음 남긴다.감정 매마른 남잔데 눈물 난다.그런데 슬픈게 아니라 감동적이다.감정이 따뜻하다고 해야하나 행복하다고 해야하나?표현을 못하겠다.. 감성 폭발이다 이 영화!
10,한 가정을 그리기 전에 사랑하는 사람과의 추억을 그렸던 영화 눈물 없이 볼 수 없는 영화
10,판타지가 가미된 전형적 일본 드라마지만 캐스팅과 연출 연기까지 너무 완전했다.
10,2005년부터, 한 해도 빠지지 않고 보는 영화. 올해도 만나러 갑니다.
10,나온지가 벌써 12년이 다 되가네... 2026년에 또 찾아 볼 듯
10,내용 에 놀라고 들어본적 있는 ost에 놀라고 좋아하는 노래가 엔딩 크래딧과 흘러나와 또 놀라고 ;;
10,슬퍼요 감동적이에여..
10,처음부터 끝까지 슬프지만 예쁜 동화같은 영화
10,로맨스영화중  단연1위   후반부 다케우치유코의 독백부분이 너무 인상적이라  목이다아팠다
10,말이 필요 없을 정도로 좋은 영화, 핵소름 .. 진심으로 리뷰 처음 써본다.
10,솔직히 영화적 만듦새는 별로다. 뜬금없기도 하고 작위적이기도 하고. 하지만 여주를 비롯한 주변 풍경들이 너무 곱고 예뻐서 감정이입이 잘됐다. 뻔하고 유치한 것들 속에서도 감정이입을 시키고 감동을 끌어냈으니 멜로영화로서의 몫은 다했다
10,억지감동이라도 받아보려 봤지만 계속 미오가 어떻게 돌아왔을까 라는 생각에 감동을 못받았었습니다 영화도 끝났네 할때 아이오가 다이어리를 보는 장면에서 방심하고 정말 펑펑 울었네요. 여운이 계속 남아요 평점 처음 남겨봅니다 .
10,11년이 지나고 다시한번 영화를 보았다. 지나온 삶이 이 영화에서 참 많은 영향을 받았다는 생각이든다. 마치 11년 전의 내가 미래를 보고왔고 인생은 이렇게 가슴 따뜻하고 깊은 사랑으로 채워져야한다고 느낀 것 처럼..  다행이다 이 영화를 만나서.
10,아.. 다시 봐도 너무 재밌어..
10,정말 잔잔하고 애틋한 사랑 영화입니다.
10,ost와 더불어 아주 명작!!!여운이 오래남는영화 겨울엔 러브레터여름엔 지금만나러갑니다.한번씨 봐줘요
10,그냥봐.. 그냥보면 압니다.
10,너무 재밌게 봄 굿굿~~
10,비극적인 결말인듯 아닌듯 하면서 가슴이 따뜻해 지는 영화. 이 영화를 보고나서 한동안 다른 영화를 볼 엄두가 나질 않았다.
10,한때 진정한 사랑이란게 있을까? 라는 생각에 잠겨 있던나에게 진정하고도 아름다운 사랑이란게 무었인지 알려준 감동,평화,사랑의 영화
10,이런게 감동아닌가 싶다.. 정말 정말 정말로 명작이다 너무 좋은 영화고 다시봐도 또 빠져드는영화..
10,펑펑 울었던 영화, 3번이나 봤던 영화
10,와 다른말이 필요없다... 여운이 크네요
8,처음엔 지루할수 있으나 중후반 부터 집중하게 된다. 그리고 유우지의 귀여움에 홀딱 반했다.. 동화같은 스토리가 있어 별점은 8점.
10,정말 '사랑'이란 단어의 모든걸 느끼게 해준영화...
10,내행복은당신었어요....당신때문에 가슴아프고 힘들었던 나날이 많았지만 내 20년 인생을 돌이켜보면 당신을 만났던 그때가 제일 행복했던 순간들이었어요 영화를 보면서 당신이 참 많이 생각났어요 그리고 미오의 마음이 그때의 내마음같아서 당신이무척그리워지네요
9,현실성은 전혀 없지만 애틋한 마음이 전해지는 그래서 더 슬픈 영화
10,처음 영화를 보고 울어봤던 아련한 영화
9,괜찮았음 눈물펑펑안난건아쉽당
10,영화보면서 이렇게 울었던 적은 처음인 것 같다...
10,사랑하는 누군가를 잃어본 경험이 있는 사람이라면 이 영화를 보고 가슴이 시큰해질 수 밖에 없을것같다
10,아름답다.. 정말 아름답다.. 영화가 재미와 감동을 떠나서 정말 아름다운 영화다..
10,너무아름답고 행복한 영화
10,개인적인 입장에선 10점이다 뭔가 어설픈 연기가 좀 거슬렸는데그러한 사랑이였고 연기나 감정 표현을 잘한거같다 뭔가 우리나라 영화가 이랬다면좀 감동이 덜했을텐데 일본이라 표현이나 언어적 그런게 뭔가좀 와닫는게 많았다 후반엔 얼마나 울리던지 대박영화
10,내 인생 NO.1 영화매년 한번씩 챙겨보는게 올해로 6년째
9,일본인이 사랑하는 여름의 감성. 세계를 울리다.
8,감동적인 영화 속 사랑이야기.
10,두번 보고 두번 울었다,,
10,이걸 왜... 이제서야 보게 된거죠...ㅠㅠ
10,영화관에서 또볼꺼야!!
10,마지막에 타쿠미와 미오 둘이 해바라기 밭에서의 모습은 언제나 봐도 마음 한켠이 아립니다. 오랜만에 정말 최고의 영화를 봤습니다. 평점은 거짓말을 하지 않아요.... 꼭 보세요 이렇게 추천합니다. 얼마나 울었는지 에휴
9,사고로 잠깐 잠들었을때 미래를 다녀왔다는 부분에서 , 작가에게서 감동으로 뒷통수를 맞았다
10,너무나도 따뜻하고 아름다운 영화. 영상도 음악도 연기도 너무 좋았다.
5,영화 끝나기 20분전까지는 매우 잔잔하다. 어떻게 보면 지루한데.. 이 영화의 스토리는 마지막 20분을 위해 존재하는 것 같다. 내 기준에서는 10점 만점의 5점
9,고딩 때 본거지만 아직도 여운이 느껴지는 영화
10,오래전 본 영화인데도 문득 떠올라 잠시 들렀습니다.
10,사랑이야기와 타임슬립(?)이라는 다소 진부한 소재는 어떻게 그려내야 하는지에 달린 것을 증명했다고 볼 수 있을정도로 재미있었다. 특히 남녀의 사랑이야기 뿐만 아니라, '유우지'라는 인물로 인해 부모의 책임감을 느낄수 있어서 감동이 더해진 것 같다.
10,야밤에 눈물흘리면서 봤다.. 다시 만나도 난 널 만나고 우리가 만나는 것은 모든 것이 운명이다...죽을걸 알지만 그래도 널 선택할래 짧은 삶이지만 너와 함께 있는게 행복해
10,good!good!
